title,iLibraryUrl,identifier,dateOfPublication
ICT Skills and Employment,science-and-technology/ict-skills-and-employment_110542373678,110542373678,2002-07-17
"Virtuous Circles? Human Capital Formation, Economic Development and the Multinational Enterprise",development/virtuous-circles-human-capital-formation-economic-development-and-the-multinational-enterprise_231858424154,231858424154,2002-08-01
Le lycée Maximilien Perret en France,education/le-lycee-maximilien-perret-en-france_736453172633,736453172633,2002-06-01
Ireland's Programme for Research in Third Level Institutions,education/ireland-s-programme-for-research-in-third-level-institutions_575658184383,575658184383,2005-02-01
Évolution de l'architecture scolaire à Zurich,education/evolution-de-l-architecture-scolaire-a-zurich_245381615507,245381615507,2008-02-01
After Gleneagles,development/after-gleneagles_186548656812,186548656812,2006-12-01
Is There a Future for Capital Income Taxation?,economics/is-there-a-future-for-capital-income-taxation_351474527568,351474527568,1992-04-01
"MDGs, Taxpayers and Aid Effectiveness",development/mdgs-taxpayers-and-aid-effectiveness_246784170581,246784170581,2005-09-01
Policies for Healthy Ageing,social-issues-migration-health/policies-for-healthy-ageing_226757488706,226757488706,2009-02-16
Post-Crisis Changes in Banking and Corporate Landscapes,economics/post-crisis-changes-in-banking-and-corporate-landscapes_145078855616,145078855616,2003-07-02
Ménages en transition,development/menages-en-transition_238762684870,238762684870,2008-06-01
Career Interruptions Due to Parental Leave,social-issues-migration-health/career-interruptions-due-to-parental-leave_048564246616,048564246616,2003-03-13
Le rôle de l'indemnisation dans le processus de réforme,agriculture-and-food/le-role-de-l-indemnisation-dans-le-processus-de-reforme_124663868577,124663868577,2007-08-01
Net Social Expenditure,social-issues-migration-health/net-social-expenditure_446511258155,446511258155,1999-08-19
Fostering Entrepreneurship for Innovation,science-and-technology/fostering-entrepreneurship-for-innovation_227624785873,227624785873,2008-12-30
Economic Impacts of the Phase-Out in 2005 of Quantitative Restrictions under the Agreement on Textiles and Clothing,trade/economic-impacts-of-the-phase-out-in-2005-of-quantitative-restrictions-under-the-agreement-on-textiles-and-clothing_220185234525,220185234525,2009-07-22
La réforme des retraites,development/la-reforme-des-retraites_242840530840,242840530840,2007-10-01
The Impact of Trade on Labour Markets,employment/the-impact-of-trade-on-labour-markets_247442101034,247442101034,1995-01-01
Scenarios for the World Trading System and Their Implications for Developing Countries,development/scenarios-for-the-world-trading-system-and-their-implications-for-developing-countries_581340376663,581340376663,1991-11-01
"City and Islington College, in the United Kingdom",education/city-and-islington-college-in-the-united-kingdom_753671430575,753671430575,2002-02-01
Are Commodity Prices Leading Indicators of OECD Prices?,economics/are-commodity-prices-leading-indicators-of-oecd-prices_577218573683,577218573683,1988-02-01
Wired Versus Wireless,education/wired-versus-wireless_837864775744,837864775744,2000-06-01
Les prix de l'énergie,economics/les-prix-de-l-energie_213844707150,213844707150,1985-06-01
The Impact of Foreign Direct Investment on Wages and Working Conditions,social-issues-migration-health/the-impact-of-foreign-direct-investment-on-wages-and-working-conditions_230184240223,230184240223,2008-10-23
Trade and Growth,economics/trade-and-growth_768732688342,768732688342,2000-10-12
Making Privacy Notices Simple,science-and-technology/making-privacy-notices-simple_231428216052,231428216052,2006-07-24
International Comparisons of Efficiency in Agricultural Production,development/international-comparisons-of-efficiency-in-agricultural-production_436855215210,436855215210,1990-07-01
L'élaboration de politiques de protection des infrastructures d'information critiques,science-and-technology/l-elaboration-des-politiques-pour-la-protection-des-infrastructures-d-information-critiques_230821585485,230821585485,2007-02-08
ICTs and Gender,science-and-technology/icts-and-gender_231011217663,231011217663,2007-03-29
"One Money, One Cycle?: Making Monetary Union a Smoother Ride",economics/one-money-one-cycle-making-monetary-union-a-smoother-ride_321284370330,321284370330,2004-09-16
"ICT, E-Business and SMEs",science-and-technology/ict-e-business-and-smes_232475651473,232475651473,2005-05-04
L'environnement et l'organisation des bibliothèques,education/l-environnement-et-l-organisation-des-bibliotheques_646381086411,646381086411,2003-06-01
Campania Region's Educational Quality Facilities Project,education/campania-region-s-educational-quality-facilities-project_224723467618,224723467618,2009-02-01
The Impact of Structural Policies on Trade-Related Adjustment and the Shift to Services,economics/the-impact-of-structural-policies-on-trade-related-adjustment-and-the-shift-to-services_605814347080,605814347080,2005-04-18
Dispositions relatives à la concurrence dans les accords commerciaux régionaux,trade/dispositions-relatives-a-la-concurrence-dans-les-accords-commerciaux-regionaux_343436252884,343436252884,2006-03-21
"Forgive Debt, but Keep Lending",development/forgive-debt-but-keep-lending_243721887467,243721887467,2007-04-01
"Culture, Family Ties and the Saving Hand",development/culture-family-ties-and-the-saving-hand_244703652764,244703652764,2006-12-01
Indonesia: Growth Performance and Policy Challenges,economics/indonesia-growth-performance-and-policy-challenges_236831785800,236831785800,2008-09-22
Le traitement de la nation la plus favorisée dans le droit international des investissements,finance-and-investment/le-traitement-de-la-nation-la-plus-favorisee-dans-le-droit-international-des-investissements_338113032407,338113032407,2004-09-01
Broadband Infrastructure Deployment,science-and-technology/broadband-infrastructure-deployment_168381487364,168381487364,2002-05-22
Banking on Development,development/banking-on-development_044646710662,044646710662,2007-11-01
Les partenariats d'affaire public-privé au Québec,education/les-partenariats-d-affaire-public-prive-au-quebec_681803183280,681803183280,2003-02-01
Embodied Technology Diffusion,science-and-technology/embodied-technology-diffusion_686654085563,686654085563,1996-01-01
"The Relationship Between Personal, Family, Resource and Work Factors and Maternal Employment in Australia",social-issues-migration-health/the-relationship-between-personal-family-resource-and-work-factors-and-maternal-employment-in-australia_637613183470,637613183470,2002-10-29
Une estimation de la pauvreté en Afrique subsaharienne d'après les données anthropométriques,development/une-estimation-de-la-pauvrete-en-afrique-subsaharienne-d-apres-les-donnees-anthropometriques_213103000452,213103000452,2000-05-01
Les classes de l'avenir au Royaume-Uni,education/les-classes-de-l-avenir-au-royaume-uni_786017111212,786017111212,2001-06-01
Politiques de l'environnement et libéralisation des échanges au Costa Rica,development/politiques-de-l-environnement-et-liberalisation-des-echanges-au-costa-rica_860648464467,860648464467,1996-02-01
Adjustment and Equity,development/adjustment-and-equity_534374616322,534374616322,1992-01-01
Use of the Edmonds-Reilly Model to Model Energy-Related Greenhouse Gas Emissions,economics/use-of-the-edmonds-reilly-model-to-model-energy-related-greenhouse-gas-emissions_240072800241,240072800241,1992-01-01
The Rise of China and India,development/the-rise-of-china-and-india_246616177271,246616177271,2006-05-01
The Netherlands' School Building Prize,education/the-netherlands-school-building-prize_473181056631,473181056631,1999-02-01
"The ""Puzzle"" of Wage Moderation in the 1980s",economics/the-puzzle-of-wage-moderation-in-the-1980s_746401378560,746401378560,1990-11-01
Collective Pension Funds,finance-and-investment/collective-pension-funds_123505600000,123505600000,2007-08-01
Market Power and Vertical and Horizontal Integration in the Maritime Shipping and Port Industry,transport/market-power-and-vertical-and-horizontal-integration-in-the-maritime-shipping-and-port-industry_227458312782,227458312782,2009-01-01
Policy Pre-Commitment and Institutional Design,economics/policy-pre-commitment-and-institutional-design_101351888036,101351888036,2002-05-23
Managing Chile's Macroeconomy during and after the Copper Price Boom,economics/managing-chile-s-macroeconomy-during-and-after-the-copper-price-boom_242135544660,242135544660,2008-04-14
Enhancing the Effectiveness of Active Labour Market Policies,social-issues-migration-health/enhancing-the-effectiveness-of-active-labour-market-policies_560806166428,560806166428,1996-01-01
International Mobility of Health Professionals and Health Workforce Management in Canada,social-issues-migration-health/international-mobility-of-health-professionals-and-health-workforce-management-in-canada_228478636331,228478636331,2008-10-16
The Role of Transparency in the Conduct of Monetary Policy,economics/the-role-of-transparency-in-the-conduct-of-monetary-policy_221128317344,221128317344,2009-09-25
Analysis of Price Transmission Along the Food Chain,agriculture-and-food/analysis-of-price-transmission-along-the-food-chain_752335872456,752335872456,2005-11-01
Slovakia's Introduction of a Flat Tax as Part of Wider Economic Reforms,economics/slovakia-s-introduction-of-a-flat-tax-as-part-of-wider-economic-reforms_075008851315,075008851315,2005-10-03
Counting Immigrants and Expatriates in OECD Countries,social-issues-migration-health/counting-immigrants-and-expatriates-in-oecd-countries_521408252125,521408252125,2005-06-22
School Design and Management,education/school-design-and-management_811287847103,811287847103,2001-02-01
Commodity Prices in INTERLINK,economics/commodity-prices-in-interlink_711115866305,711115866305,1985-11-01
Tax Treatment of Business Investments in Intellectual Assets,science-and-technology/tax-treatment-of-business-investments-in-intellectual-assets_672304513676,672304513676,2006-05-22
Has Pension Reform Failed Latin America?,development/has-pension-reform-failed-latin-america_243130732161,243130732161,2007-10-01
The Legal Protection of Software,development/the-legal-protection-of-software_658251434128,658251434128,1990-10-01
Catching up in Broadband - What Will it Take?,science-and-technology/catching-up-in-broadband-what-will-it-take_230706633823,230706633823,2007-07-25
Greek Public Enterprises,economics/greek-public-enterprises_213543162468,213543162468,1999-05-05
Construire les écoles de demain au Royaume-Uni,education/construire-les-ecoles-de-demain-au-royaume-uni_567551123521,567551123521,2005-02-01
Potential Offshoring of ICT-intensive Using Occupations,science-and-technology/potential-offshoring-of-ict-intensive-using-occupations_232456170367,232456170367,2005-04-05
The United Kingdom NAIRU,economics/the-united-kingdom-nairu_773488462034,773488462034,1997-01-01
"Public Opinion Research, Global Education and Development Co-operation Reform",development/public-opinion-research-global-education-and-development-co-operation-reform_571103687188,571103687188,2003-11-01
Questions actuelles concernant les équipements scolaires autrichiens,education/questions-actuelles-concernant-les-equipements-scolaires-autrichiens_652565550550,652565550550,2003-06-01
Assessing Barriers to Trade in Services in the MENA Region,trade/assessing-barriers-to-trade-in-services-in-the-mena-region_225883022037,225883022037,2009-02-09
Libéralisation des échanges et performances économiques,trade/liberalisation-des-echanges-et-performances-economiques_243456546688,243456546688,2008-03-10
Facing Complexity in Development Finance,development/facing-complexity-in-development-finance_244622212823,244622212823,2007-04-01
The Changing Nature of Manufacturing in OECD Economies,science-and-technology/the-changing-nature-of-manufacturing-in-oecd-economies_308452426871,308452426871,2006-10-27
Globalisation and the European Union,economics/globalisation-and-the-european-union_038471381552,038471381552,2007-12-06
Informal Employment Re-loaded,development/informal-employment-re-loaded_245657753644,245657753644,2008-01-01
"Trade in Information, Computer and Communication Services, No. 21",science-and-technology/trade-in-information-computer-and-communication-services-no-21_237753506225,237753506225,1990-06-01
OECD's FDI Regulatory Restrictiveness Index,economics/oecd-s-fdi-regulatory-restrictiveness-index_373767060507,373767060507,2006-12-06
The Macro Management of Commodity Booms,development/the-macro-management-of-commodity-booms_240356635678,240356635678,2008-08-01
Quebec Energy Performance Contracts for the School System,education/quebec-energy-performance-contracts-for-the-school-system_443532663641,443532663641,1999-10-01
Revision of the High-Technology Sector and Product Classification,science-and-technology/revision-of-the-high-technology-sector-and-product-classification_134337307632,134337307632,1997-01-01
How Regulatory Reforms in Sweden have boosted Productivity,economics/how-regulatory-reforms-in-sweden-have-boosted-productivity_084244078600,084244078600,2007-09-24
Improving Workers' Skills,social-issues-migration-health/improving-workers-skills_535875452181,535875452181,2003-07-09
The Measurement of CO2 Embodiments in International Trade,science-and-technology/the-measurement-of-co2-embodiments-in-international-trade_227026518048,227026518048,2009-02-06
Crushed Aid,development/crushed-aid_218465127786,218465127786,2010-01-05
Survey of Pharmacoeconomic Assessment Activity in Eleven Countries,social-issues-migration-health/survey-of-pharmacoeconomic-assessment-activity-in-eleven-countries_678644556018,678644556018,2003-05-16
Measuring Gender (In)equality,development/measuring-gender-in-equality_354470443614,354470443614,2006-03-06
Co-Financing Transactions between Multilateral Institutions and International Banks,development/co-financing-transactions-between-multilateral-institutions-and-international-banks_728086677321,728086677321,1992-10-01
Can Parents Afford to Work?,social-issues-migration-health/can-parents-afford-to-work_312744260654,312744260654,2005-12-16
Australia's Oak Valley Aboriginal School,education/australia-s-oak-valley-aboriginal-school_714337078782,714337078782,2003-02-01
GREEN - - A Multi-Region Dynamic General Equilibrium Model for Quantifying the Costs of Curbing CO2 Emissions,economics/green-a-multi-region-dynamic-general-equilibrium-model-for-quantifying-the-costs-of-curbing-co2-emissions_877165867056,877165867056,1991-06-01
Alternative Solution Methods in Applied General Equilibrium Analysis,economics/alternative-solution-methods-in-applied-general-equilibrium-analysis_830687701718,830687701718,1988-04-01
Gestion de la dette publique et cycles politiques,development/gestion-de-la-dette-publique-et-cycles-politiques_228337107215,228337107215,2008-10-01
Taxes and Spending in Latin America,development/taxes-and-spending-in-latin-america_228386641421,228386641421,2008-10-01
How Should Norway Respond to Ageing?,economics/how-should-norway-respond-to-ageing_385156551776,385156551776,2001-05-17
Reforming the Labour Market in Japan to Cope with Increasing Dualism and Population Ageing,economics/reforming-the-labour-market-in-japan-to-cope-with-increasing-dualism-and-population-ageing_230264641407,230264641407,2008-12-01
"Selecting Indicators for the Quality of Health Promotion, Prevention and Primary Care at the Health Systems Level in OECD Countries",social-issues-migration-health/selecting-indicators-for-the-quality-of-health-promotion-prevention-and-primary-care-at-the-health-systems-level-in-oecd-countries_627626833816,627626833816,2004-10-28
Quelle politique de réendettement pour les pays africains après une decennie de remise de dette?,development/quelle-politique-de-reendettement-pour-les-pays-africains-apres-une-decennie-de-remise-de-dette_244447042806,244447042806,2007-01-01
Rethinking Universal Service for a Next Generation Network Environment,science-and-technology/rethinking-universal-service-for-a-next-generation-network-environment_231528858833,231528858833,2006-04-18
"Culture, liens familiaux et épargne",development/culture-liens-familiaux-et-epargne_244534251026,244534251026,2006-12-01
ENUM: Converging Telephone Numbers and Addresses in Next Generation Networks,science-and-technology/enum-converging-telephone-numbers-and-addresses-in-next-generation-networks_222425783407,222425783407,2009-06-02
Investment Risk and Pensions,social-issues-migration-health/investment-risk-and-pensions_224005547774,224005547774,2009-06-05
Economic Growth and Poverty Reduction,development/economic-growth-and-poverty-reduction_017028157830,017028157830,2005-09-21
SHA-Based Health Accounts in 13 OECD Countries - Country Studies - The Netherlands,social-issues-migration-health/sha-based-health-accounts-in-13-oecd-countries-country-studies-the-netherlands_418433204566,418433204566,2004-09-01
L'essor de la Chine et de l'Inde,development/l-essor-de-la-chine-et-de-l-inde_246540637572,246540637572,2006-05-01
À la recherche d'un monde meilleur,development/a-la-recherche-d-un-monde-meilleur_244281342062,244281342062,2007-03-01
Changing Social Institutions to Improve the Status of Women in Developing Countries,development/changing-social-institutions-to-improve-the-status-of-women-in-developing-countries_518103673332,518103673332,2005-07-22
L'évaluation de la qualité des équipements éducatifs,education/l-evaluation-de-la-qualite-des-equipements-educatifs_527361287865,527361287865,2006-02-01
Nurse Workforce Challenges in the United States,social-issues-migration-health/nurse-workforce-challenges-in-the-united-states_236153608331,236153608331,2008-10-01
"Recent Trends, Policies and Challenges in SEE Countries",finance-and-investment/recent-trends-policies-and-challenges-in-see-countries_361306126481,361306126481,2000-11-01
Availability and Characteristics of Surveys on the Destination of Doctorate Recipients in OECD Countries,science-and-technology/availability-and-characteristics-of-surveys-on-the-destination-of-doctorate-recipients-in-oecd-countries_245308553443,245308553443,2003-05-27
Biotechnology Statistics in OECD Member Countries,science-and-technology/biotechnology-statistics-in-oecd-member-countries_778637161451,778637161451,2001-09-13
Policies and Institutions for E-Commerce Readiness,development/policies-and-institutions-for-e-commerce-readiness_604626755535,604626755535,2002-04-01
Biotechnology Policy for Developing Country Agriculture,development/biotechnology-policy-for-developing-country-agriculture_086753060303,086753060303,1997-04-01
ICT and Educational Property Management,education/ict-and-educational-property-management_578307422564,578307422564,2005-02-01
Nouvelle-Zélande : la modernisation des établissements scolaires dans un cadre décentralisé,education/nouvelle-zelande-la-modernisation-des-etablissements-scolaires-dans-un-cadre-decentralise_245483437220,245483437220,2008-02-01
Product Market Regulation in the Non-Manufacturing Sectors of OECD Countries,economics/product-market-regulation-in-the-non-manufacturing-sectors-of-oecd-countries_362886816127,362886816127,2006-12-07
Le programme d'écoles « vertes » au Japon,education/le-programme-d-ecoles-vertes-au-japon_076728654887,076728654887,2007-09-01
Financial Crises,economics/financial-crises_226777318564,226777318564,2009-02-17
After the Telecommunications Bubble,economics/after-the-telecommunications-bubble_311813664474,311813664474,2003-06-25
L'augmentation du prix des denrées alimentaires,development/l-augmentation-du-prix-des-denrees-alimentaires_240005303011,240005303011,2008-05-01
Canadian Funding Competition for Research Infrastructure,education/canadian-funding-competition-for-research-infrastructure_480542403154,480542403154,1998-10-01
Health-Care Systems,social-issues-migration-health/health-care-systems_865047648066,865047648066,2003-12-05
Faire face aux défis de la décentralisation en France,economics/faire-face-aux-defis-de-la-decentralisation-en-france_125763645442,125763645442,2007-08-01
Development Aid and Portfolio Funds,development/development-aid-and-portfolio-funds_227641521672,227641521672,2008-12-01
Liberalisation of Trade in Renewable-Energy Products and Associated Goods,trade/liberalisation-of-trade-in-renewable-energy-products-and-associated-goods_216364843321,216364843321,2005-12-09
The Effects of Trade and Foreign Direct Investment on Employment and Relative Wages,employment/the-effects-of-trade-and-foreign-direct-investment-on-employment-and-relative-wages_888157653682,888157653682,1995-01-01
"The External Financing of Thailand's Imports (Special Series on Mixed Credits, in Collaboration with ICEPS)",development/the-external-financing-of-thailand-s-imports-special-series-on-mixed-credits-in-collaboration-with-iceps_086838577183,086838577183,1991-10-01
Eliminating the U.S. Federal Budget Deficit by 1993,economics/eliminating-the-u-s-federal-budget-deficit-by-1993_384731238002,384731238002,1988-12-01
"Belgium, the Library of the ULB",education/belgium-the-library-of-the-ulb_845205032102,845205032102,2000-06-01
"The Internationalisation of Production, International Outsourcing and Employment in the OECD",economics/the-internationalisation-of-production-international-outsourcing-and-employment-in-the-oecd_167350640103,167350640103,2007-07-04
Base de données compatibles sur le commerce et la production de l'OCDE,economics/base-de-donnees-compatibles-sur-le-commerce-et-la-production-de-l-ocde_558124530071,558124530071,1985-01-01
Aide et cohérence des politiques des pays du Nord,development/aide-et-coherence-des-politiques-des-pays-du-nord_246112803878,246112803878,2006-06-01
The Economics of Climate Change Impacts and Policy Benefits at City Scale,environment/the-economics-of-climate-change-impacts-and-policy-benefits-at-city-scale_230232725661,230232725661,2008-12-10
La stratégie de l'OCDE pour l'emploi,economics/la-strategie-de-l-ocde-pour-l-emploi_038048008371,038048008371,1998-05-15
Future Digital Economy,science-and-technology/future-digital-economy_231438658873,231438658873,2006-05-22
Biotechnology and Developing Country Agriculture,development/biotechnology-and-developing-country-agriculture_575384725580,575384725580,1990-06-01
Fixed-Mobile Convergence,science-and-technology/fixed-mobile-convergence_231037284472,231037284472,2007-03-23
Product Market Competition and Economic Performance in Korea,economics/product-market-competition-and-economic-performance-in-korea_634035868056,634035868056,2004-08-09
ICT Skills and Employment,science-and-technology/ict-skills-and-employment_232527431276,232527431276,2005-01-03
Including Pupils with Special Educational Needs in Schools in Ireland,education/including-pupils-with-special-educational-needs-in-schools-in-ireland_224824045146,224824045146,2009-01-01
Le point sur les projets de gestion des actifs au Royaume-Uni,education/le-point-sur-les-projets-de-gestion-des-actifs-au-royaume-uni_438622501763,438622501763,1999-10-01
"Consumer Direction and Choice in Long-Term Care for Older Persons, Including Payments for Informal Care",social-issues-migration-health/consumer-direction-and-choice-in-long-term-care-for-older-persons-including-payments-for-informal-care_616882407515,616882407515,2005-05-11
Facing Pro-poor Design of Subsidies for Drinking Water and Sanitation Services in Africa,development/facing-pro-poor-design-of-subsidies-for-drinking-water-and-sanitation-services-in-africa_243767228678,243767228678,2007-05-01
Serious Incident Management in Australia,education/serious-incident-management-in-australia_248725444288,248725444288,2007-03-01
Private Initiatives for Corporate Responsibility,finance-and-investment/private-initiatives-for-corporate-responsibility_816826411085,816826411085,2001-02-01
The Importance of Traditions for Development,development/the-importance-of-traditions-for-development_244743626677,244743626677,2006-12-01
Trends in Conformity Assessment Practices and Barriers to Trade,trade/trends-in-conformity-assessment-practices-and-barriers-to-trade_317107062148,317107062148,2006-08-11
The Contribution of ICT to Production Efficiency in Italy,science-and-technology/the-contribution-of-ict-to-production-efficiency-in-italy_101101136045,101101136045,2002-09-13
Avoiding the Value Added Tax,economics/avoiding-the-value-added-tax_242167601452,242167601452,2008-04-14
The Danish Housing Market,economics/the-danish-housing-marke_046875878368,046875878368,2006-09-08
Measuring R&D in the Services,science-and-technology/measuring-r-d-in-the-services_686633754184,686633754184,1996-01-01
Gouvernance participative,development/gouvernance-participative_885576515325,885576515325,1999-04-01
Climate Policy Without Tears,development/climate-policy-without-tears_255872588381,255872588381,1999-11-01
Ouverture et croissance industrielle en Chine,development/ouverture-et-croissance-industrielle-en-chine_540822803327,540822803327,1995-09-01
Balancing Health Care Quality and Cost Containment,economics/balancing-health-care-quality-and-cost-containment_557213833552,557213833552,2006-02-17
Global 2100,economics/global-2100_507434234134,507434234134,1992-01-01
Simulating the OECD INTERLINK Model under Alternative Monetary Policy Rules,economics/simulating-the-oecd-interlink-model-under-alternative-monetary-policy-rules_573688010825,573688010825,1990-10-01
"Empirical Evidence for Integration and Disintegration of Maritime Shipping, Port and Logistics Activities",transport/empirical-evidence-for-integration-and-disintegration-of-maritime-shipping-port-and-logistics-activities_227565346707,227565346707,2009-01-01
Globalisation and Linkages,economics/globalisation-and-linkages_807377186466,807377186466,1997-01-01
The Impact of Trade and Foreign Direct Investment on Labour Markets,employment/the-impact-of-trade-and-foreign-direct-investment-on-labour-markets_767608658653,767608658653,1995-01-01
Migration of Health Workers,social-issues-migration-health/migration-of-health-workers_228550573624,228550573624,2008-10-13
Improving the Performance of the Public Health Care System in Greece,economics/improving-the-performance-of-the-public-health-care-system-in-greece_221250170007,221250170007,2009-09-21
Pension Liabilities in the Seven Major Economies,economics/pension-liabilities-in-the-seven-major-economies_083510523416,083510523416,1993-01-01
In Search of Efficiency,economics/in-search-of-efficiency_062258555125,062258555125,2005-09-29
Le centre numérique multifonctionnel,education/le-centre-numerique-multifonctionnel_801484016206,801484016206,2001-02-01
Performance-based Arrangements for Senior Civil Servants OECD and other Country Experiences,governance/performance-based-arrangements-for-senior-civil-servants-oecd-and-other-country-experiences_160726630750,160726630750,2007-07-01
Research Use of Patented Knowledge,science-and-technology/research-use-of-patented-knowledge_683715055704,683715055704,2006-03-17
Globalisation in Services,economics/globalisation-in-services_243156015316,243156015316,2008-02-12
New Strategies for Emerging Domestic Sovereign Bond Markets,development/new-strategies-for-emerging-domestic-sovereign-bond-markets_208818582608,208818582608,2007-04-01
Job-Related Training and Benefits for Individuals,education/job-related-training-and-benefits-for-individuals_237755412637,237755412637,2008-07-15
From Globalization to Regionalization,development/from-globalization-to-regionalization_566164701344,566164701344,1990-08-01
Pension Fund Performance,finance-and-investment/pension-fund-performance_240401404057,240401404057,2008-08-01
Report on OECD Member Countries' Approaches to Consumer Contracts,science-and-technology/report-on-oecd-member-countries-approaches-to-consumer-contracts_230810708021,230810708021,2007-07-06
Next Generation Network Development in OECD Countries,science-and-technology/next-generation-network-development-in-oecd-countries_234212071844,234212071844,2005-01-18
Indicateurs des biotechnologies et politiques publiques,science-and-technology/indicateurs-des-biotechnologies-et-politiques-publiques_724862501206,724862501206,2003-06-25
Venture Capital Policies in Canada,science-and-technology/venture-capital-policies-in-canada_767750000035,767750000035,2003-01-28
Economics of Malware,science-and-technology/economics-of-malware_241440230621,241440230621,2008-05-29
Poverty Reduction Strategies in a Budget-Constrained Economy,development/poverty-reduction-strategies-in-a-budget-constrained-economy_083265263465,083265263465,2003-11-01
Résolution en ligne des litiges liés au commerce électronique : règlement alternatif des litiges (RAL) - Les questions à se poser,science-and-technology/resolution-en-ligne-des-litiges-lies-au-commerce-electronique-reglement-alternatif-des-litiges-ral-les-questions-a-se-poser_233407726168,233407726168,2002-05-14
L'échange de trafic Internet et le développement de la concurrence dans les télécommunications internationales de bout en bout,science-and-technology/l-echange-de-trafic-internet-et-le-developpement-de-la-concurrence-dans-les-telecommunications-internationales-de-bout-en-bout_233521224451,233521224451,2002-05-30
Visite de trois bibliothèques scolaires parisiennes,education/visite-de-trois-bibliotheques-scolaires-parisiennes_474230476287,474230476287,1998-10-01
Les bâtiments scolaires au cœur de la crise actuelle,education/les-batiments-scolaires-au-coeur-de-la-crise-actuelle_223687074832,223687074832,2009-06-01
South-South Trade In Goods,trade/south-south-trade-in-goods_314103237622,314103237622,2006-10-16
L'indicateur de la qualité de la conception des établissements scolaires au Royaume-Uni,education/l-indicateur-de-la-qualite-de-la-conception-des-etablissements-scolaires-au-royaume-uni_380625017378,380625017378,2006-11-01
Aid and Coherence of OECD Country Policies,development/aid-and-coherence-of-oecd-country-policies_245715074804,245715074804,2006-08-01
How Will Ageing Affect Finland?,economics/how-will-ageing-affect-finland_361422456778,361422456778,2001-05-18
School Libraries in the Information Society,education/school-libraries-in-the-information-society_444055024620,444055024620,1999-10-01
SMEs and Employment Creation,science-and-technology/smes-and-employment-creation_374052760815,374052760815,1996-01-01
The Policy Determinants of Investment in Tertiary Education,economics/the-policy-determinants-of-investment-in-tertiary-education_085530578031,085530578031,2007-09-24
"Getting Older, Getting Poorer?",social-issues-migration-health/getting-older-getting-poorer_345816633534,345816633534,2002-08-14
Health Care Reform in the United States,economics/health-care-reform-in-the-united-states_227104360465,227104360465,2009-02-06
Quota Allocation in International Fisheries,agriculture-and-food/quota-allocation-in-international-fisheries_218520326143,218520326143,2009-12-01
Enhancing Environmentally Sustainable Growth in Finland,economics/enhancing-environmentally-sustainable-growth-in-finland_370821866730,370821866730,2000-01-19
Income Distribution and Poverty in Selected OECD Countries,economics/income-distribution-and-poverty-in-selected-oecd-countries_730801800603,730801800603,1998-03-03
"OECD Study of Cross-National Differences in the Treatment, Costs and Outcomes of Ischaemic Heart Disease",social-issues-migration-health/oecd-study-of-cross-national-differences-in-the-treatment-costs-and-outcomes-of-ischaemic-heart-disease_230112362071,230112362071,2003-04-22
Les indicateurs de la satisfaction au travail,social-issues-migration-health/les-indicateurs-de-la-satisfaction-au-travail_135007820512,135007820512,1998-01-01
Review of Building Quality Using Post Occupancy Evaluation,education/review-of-building-quality-using-post-occupancy-evaluation_715204518780,715204518780,2003-02-01
"Mismatches in the Formal Sector, Expansion of the Informal Sector",social-issues-migration-health/mismatches-in-the-formal-sector-expansion-of-the-informal-sector_236168115106,236168115106,2008-10-01
The Effects of Monetary Policy on the Real Sector,economics/the-effects-of-monetary-policy-on-the-real-sector_076618776054,076618776054,1988-04-01
Trends and Cycles in Labour Productivity in the Major OECD Countries,economics/trends-and-cycles-in-labour-productivity-in-the-major-oecd-countries_215124852050,215124852050,1993-04-01
Measuring Electronic Commerce,science-and-technology/measuring-electronic-commerce_237203566348,237203566348,1997-01-01
Reforming the Tax System in Japan to Promote Fiscal Sustainability and Economic Growth,economics/reforming-the-tax-system-in-japan-to-promote-fiscal-sustainability-and-economic-growth_230312273167,230312273167,2008-12-01
Selecting Indicators for the Quality of Cardiac Care at the Health Systems Level in OECD Countries,social-issues-migration-health/selecting-indicators-for-the-quality-of-cardiac-care-at-the-health-systems-level-in-oecd-countries_230016103828,230016103828,2004-10-28
The Secondary Market for Domain Names,science-and-technology/the-secondary-market-for-domain-names_231550251200,231550251200,2006-04-12
Product Market Competition and Economic Performance in Australia,economics/product-market-competition-and-economic-performance-in-australia_018570574720,018570574720,2005-10-13
SHA-Based Health Accounts in 13 OECD Countries - Country Studies - Spain,social-issues-migration-health/sha-based-health-accounts-in-13-oecd-countries-country-studies-spain_472472858008,472472858008,2004-09-14
Politiques migratoires et développement,development/politiques-migratoires-et-developpement_188847016168,188847016168,2006-10-01
L'attribution du prix de la construction scolaire aux Pays-Bas,education/l-attribution-du-prix-de-la-construction-scolaire-aux-pays-bas_458762003865,458762003865,1999-02-01
Policy Coherence Towards East Asia,development/policy-coherence-towards-east-asia_532226286123,532226286123,2005-05-16
Revenue Buoyancy and its Fiscal Policy Implications,economics/revenue-buoyancy-and-its-fiscal-policy-implications_244135385705,244135385705,2008-03-10
Les équipements de l'enseignement supérieur,education/les-equipements-de-l-enseignement-superieur_255846875368,255846875368,2007-03-01
Governments and the Market for Longevity-Indexed Bonds,finance-and-investment/governments-and-the-market-for-longevity-indexed-bonds_260561411283,260561411283,2007-01-01
